url,host_kind,status,error
https://cbddo.gov.tr/en/news/4893/turkiye-de-bir-ilk-turk-beyin-projesi-cumhurbaskanligi-dijital-donusum-ofisi-ve-gazi-universitesi-is-birligi-ile-hayata-gecirildi-,original,,URLError: <urlopen error timed out>
https://cbddo.gov.tr/en/opendata/about-the-project/,original,,URLError: <urlopen error timed out>
https://cbddo.gov.tr/en/project-description/4605/national-data-dictionary-,original,,URLError: <urlopen error timed out>
https://cbddo.gov.tr/en/projects/nationaldatadictionary/,original,,URLError: <urlopen error timed out>
https://cbddo.gov.tr/projeler/dijital-genc/,original,,URLError: <urlopen error timed out>
https://cms.thedigital.gov.ua/storage/uploads/files/page/community/docs/%D0%94%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D1%8F_%D0%BA%D0%B0%D1%80%D1%82%D0%B0_%D0%B7_%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8E%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F_%D0%A8%D0%86_%D0%B2_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%96_compressed.pdf,original,,URLError: <urlopen error timed out>
https://cms.thedigital.gov.ua/storage/uploads/files/page/community/docs/Vykorystannya_AI_u_vyshchyy_osviti.pdf,original,,URLError: <urlopen error timed out>
https://cms.thedigital.gov.ua/storage/uploads/files/page/community/docs/%D0%91%D1%96%D0%BB%D0%B0_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0_%D0%B7_%D1%80%D0%B5%D0%B3%D1%83%D0%BB%D1%8E%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F_%D0%A8%D0%86_%D0%B2_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%96_%D0%90%D0%9D%D0%93%D0%9B.pdf,original,,URLError: <urlopen error timed out>
https://cms.thedigital.gov.ua/storage/uploads/files/page/community/docs/%D0%A8%D0%86%20%D0%B4%D0%BB%D1%8F%20%D1%80%D0%BE%D0%B7%D1%80%D0%BE%D0%B1%D0%BD%D0%B8%D0%BA%D1%96%D0%B2.pdf?utm_source=communication&utm_medium=cps&utm_id=1,original,,URLError: <urlopen error timed out>
https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/3920.pdf,original,,URLError: <urlopen error [Errno 65] No route to host>
https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/3995.pdf,original,,URLError: <urlopen error [Errno 65] No route to host>
https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/4144.pdf,original,,URLError: <urlopen error [Errno 65] No route to host>
https://colaboracion.dnp.gov.co/CDT/Desarrollo%20Digital/EVENTOS/END_Colombia_2023_2026.pdf,original,,URLError: <urlopen error [Errno 65] No route to host>
