id,collection,title,date,page_url,source_urls,canonical_url,reason
agora-210,agora,"An act to amend and reenact subsection 8 of section 1-01-49 of the North Dakota Century Code, relating to the definition of person; and to declare an emergency",2023-04-11,,,,no-original-landing
agora-376,agora,Pennsylvania HB 49,2023-03-07,,,,no-original-landing
agora-278,agora,"An Act to amend the general business law, in relation to the management
 and oversight of personal data (Section 7)",2023-02-03,,,,no-original-landing
agora-365,agora,Massachusetts Bill S. 31,2023-01-20,,,,no-original-landing
agora-360,agora,Massachusetts Bill H.64,2023-01-19,,,,no-original-landing
agora-285,agora,An Act concerning the use of automated tools to assist with hiring decisions and supplementing Title 34 of the Revised Statutes.,2023-01-19,,,,no-original-landing
agora-301,agora,"A bill to amend the South Carolina Code of Laws by adding Section 63-5-380 so as to prohibit operators of internet-based applications from using ""automated decision systems"" to place content on social",2023-01-18,,,,no-original-landing
agora-2089,agora,"Vermont Agency of Digital Services Report regarding Inventory of Artificial Intelligence Usage, pursuant to 3 V.S.A. § 3305",2022-12-01,,,,no-original-landing
agora-995,agora,Blueprint for an AI Bill of Rights,2022-10-01,,,,no-original-landing
agora-2146,agora,Rhode Island SB 2083 (2022),2022-06-29,,,,no-original-landing
agora-2145,agora,Rhode Island HB 6654 (2022),2022-06-29,,,,no-original-landing
agora-274,agora,"An Act concerning discrimination and automated decision systems and supplementing P.L.1945, c.169 (C.10:5-1 et seq.).",2022-02-10,,,,no-original-landing
agora-2127,agora,Illinois House Bill 53 (2021),2022-01-22,,,,no-original-landing
agora-390,agora,New Jersey S 2723,2022-01-18,,,,no-original-landing
agora-310,agora,An Act requiring the Commissioner of Labor and Workforce Development to conduct a study and issue a report on the impact of artificial intelligence on the growth of the State's economy.,2022-01-11,,,,no-original-landing
agora-389,agora,Illinois HB 0645,2021-08-19,,,,no-original-landing
agora-392,agora,Virginia HB 2154,2021-03-18,,,,no-original-landing
agora-2270,agora,"Massachusetts (2020) House Bill 5250, Section 92",2021-01-14,,,,no-original-landing
agora-314,agora,Illinois HB53 2021,2021-01-13,,,,no-original-landing
agora-1045,agora,Australia’s AI Ethics Principles,2019-11-07,,,,no-original-landing
agora-304,agora,Artificial Intelligence Video Interview Act,2019-08-09,,,,no-original-landing
agora-2265,agora,"Vermont 2019 Act No.16, Section 20",2019-06-17,,,,no-original-landing
agora-1770,agora,"G20 Ministerial Statement on Trade and Digital Economy (Section I, Subsection 3 ""Human-centered Artificial Intelligence"")",2019-06-09,https://wp.oecd.ai/app/uploads/2021/06/G20-AI-Principles.pdf,https://wp.oecd.ai/app/uploads/2021/06/G20-AI-Principles.pdf,,no-original-landing
agora-1771,agora,"G20 Ministerial Statement on Trade and Digital Economy (Annex ""G20 AI Principles"")",2019-06-09,https://wp.oecd.ai/app/uploads/2021/06/G20-AI-Principles.pdf,https://wp.oecd.ai/app/uploads/2021/06/G20-AI-Principles.pdf,,no-original-landing
agora-302,agora,An Act Establishing the Alabama Commission on Artificial Intelligence and Associated Technologies.,2019-05-28,,,,no-original-landing
agora-384,agora,Arkansas SB 656,2019-04-17,,,,no-original-landing
agora-1625,agora,New Jersey (2019) Assembly Joint Resolution 164,2019-03-18,,,,no-original-landing
agora-2107,agora,Illinois House Bill 2557 (2019),2019-02-13,,,,no-original-landing
agora-769,agora,Google AI Principles,2018-01-01,,,,no-original-landing
oecd-navigator-2568,oecd-navigator,SOPHOS,2026-01-01,https://oecd.ai/en/dashboards/policy-initiatives/sophos,,,no-original-landing
oecd-navigator-2565,oecd-navigator,Prompting Guide for Public Administration,2026-01-01,https://oecd.ai/en/dashboards/policy-initiatives/prompting-guide-for-public-administration,,,no-original-landing
oecd-navigator-2569,oecd-navigator,National Office of Information Technologies (ONTI) AI Agents Guidelines,2026-01-01,https://oecd.ai/en/dashboards/policy-initiatives/ontis-ai-agents-guidelines,,,no-original-landing
oecd-navigator-2481,oecd-navigator,IPS Córdoba Assistant — AI Policy Analysis Agent for Social Progress Governance (Subnational: Province of Córdoba),2026-01-01,https://oecd.ai/en/dashboards/policy-initiatives/ips-cordoba-assistant-—-ai-policy-analysis-agent-for-social-progress-governance,,,no-original-landing
oecd-navigator-1801,oecd-navigator,Bioeconomy Strategy for R&I,2026-01-01,https://oecd.ai/en/dashboards/policy-initiatives/bioeconomy-strategy-for-randi,,,no-original-landing
oecd-navigator-2297,oecd-navigator,White paper on the National Artificial Intelligence Roadmap,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/national-artificial-intelligence-roadmap,,,no-original-landing
oecd-navigator-2238,oecd-navigator,Training Workshop “Artificial Intelligence in Action: Practical Recommendations for the Public Sector and Educational Institutions”,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/training-workshop-artificial-intelligence-in-action-practical-recommendations-for-the-public-sector-and-educational-institutions,https://www.youtube.com/watch?v=VCBFfbJiFNI&t=178s,,no-original-landing
oecd-navigator-1675,oecd-navigator,Single Horizontal AI Platform ,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/single-horizontal-ai-platform,,,no-original-landing
oecd-navigator-2179,oecd-navigator,Shared Data Pool,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/shared-data-pool,,,no-original-landing
oecd-navigator-2550,oecd-navigator,ServetIA: AI Research Platform for the Spanish Prime Minister’s Office,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/servetia-ai-research-platform-for-the-spanish-prime-ministers-office,,,no-original-landing
oecd-navigator-2506,oecd-navigator,Sectoral Workforce Solutions Program (AI-focused projects),2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/sectoral-workforce-solutions-program-ai-focused-projects,,,no-original-landing
oecd-navigator-2057,oecd-navigator,Robotics and Life,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/robotics-and-life,,,no-original-landing
oecd-navigator-2579,oecd-navigator,Remote Pilot Program,2025-01-01,https://oecd.ai/en/dashboards/policy-initiatives/remote-pilot-program,,,no-original-landing
